variable,group,plain_language_description,values_or_format,why_retained
hrt_nos,BNR-Heart provenance,Primary nosology/provenance identifier supporting the Heart decision where a specific external principle applies.,NOS* ID or blank,Links to bnr_mort_s2_nosology.csv.
hrt_basis,BNR-Heart result,"Type of Heart evidence found, such as explicit AMI, IHD/coronary disease, both, or sudden cardiac death.",Text category,Separates surveillance-family classification from the diagnostic wording that supported it.
hrt_scope,BNR-Heart provenance,BNR surveillance-scope provenance identifier for the broader fatal-event Heart definition.,NOS017 when Heart evidence is present,Documents why fatal BNR-Heart surveillance is not restricted to certificates literally saying AMI.
hrt_structure_cap,BNR-Heart provenance,Indicates that a Heart classification that would otherwise be Clear was reduced to Likely because source line structure is not preserved.,0 No; 1 Yes,Makes source-data uncertainty explicit.
hrt_cons,BNR-Heart scenario,Death is included in the Conservative Heart sensitivity scenario.,0 No; 1 Yes; Clear only,Scenario flag.
hrt_prim,BNR-Heart scenario,Death is included in the Primary Heart sensitivity scenario.,0 No; 1 Yes; Clear + Likely,Default reporting scenario flag.
hrt_incl,BNR-Heart scenario,Death is included in the Inclusive Heart sensitivity scenario.,0 No; 1 Yes; Clear + Likely + Possible,Upper sensitivity scenario flag.
str_cls,BNR-Stroke result,Automated evidence class for BNR-Stroke as the approximate underlying cause of death.,1 Clear; 2 Likely; 3 Possible; 4 Mention only; 5 No evidence,Core Stroke classification.
str_rule,BNR-Stroke result,Stable rule identifier that explains why the final automated Stroke evidence class was assigned.,STR_* rule ID,Analytical provenance. IDs are never recycled for a different released rule.
str_rule_desc,BNR-Stroke result,Plain-language explanation of the Stroke rule recorded in str_rule.,Text,Allows the DTA and review file to be understood without opening Stata code.
str_nos,BNR-Stroke provenance,Primary nosology/provenance identifier supporting the Stroke decision where a specific external principle applies.,NOS* ID or blank,Links to bnr_mort_s2_nosology.csv.
str_basis,BNR-Stroke result,"Type of Stroke evidence found, such as Stroke/CVA, cerebral infarction/thrombosis, cerebral haemorrhage, or generic intracranial haemorrhage.",Text category,Separates surveillance-family classification from the diagnostic wording that supported it.
str_scope,BNR-Stroke provenance,BNR surveillance-scope provenance identifier for the fatal-event Stroke definition.,NOS018 when Stroke evidence is present,Links the classification to the established BNR-Stroke surveillance definition.
str_structure_cap,BNR-Stroke provenance,Indicates that a Stroke classification that would otherwise be Clear was reduced to Likely because source line structure is not preserved.,0 No; 1 Yes,Makes source-data uncertainty explicit.
str_cons,BNR-Stroke scenario,Death is included in the Conservative Stroke sensitivity scenario.,0 No; 1 Yes; Clear only,Scenario flag.
str_prim,BNR-Stroke scenario,Death is included in the Primary Stroke sensitivity scenario.,0 No; 1 Yes; Clear + Likely,Default reporting scenario flag.
str_incl,BNR-Stroke scenario,Death is included in the Inclusive Stroke sensitivity scenario.,0 No; 1 Yes; Clear + Likely + Possible,Upper sensitivity scenario flag.
cvd_cls,Combined endpoint,Evidence class for the combined BNR-Heart-or-Stroke endpoint.,1 Clear; 2 Likely; 3 Possible; 4 Mention only; 5 No evidence,Combined endpoint only; it is not all cardiovascular mortality.
cvd_structure_cap,Combined endpoint,Indicates that a combined Clear classification was reduced to Likely because source line structure is not preserved.,0 No; 1 Yes,Makes source-data uncertainty explicit.
cvd_cons,Combined scenario,Death is included in the Conservative combined BNR-Heart-or-Stroke scenario.,0 No; 1 Yes,Combined scenario flag.
cvd_prim,Combined scenario,Death is included in the Primary combined BNR-Heart-or-Stroke scenario.,0 No; 1 Yes,Combined scenario flag.
cvd_incl,Combined scenario,Death is included in the Inclusive combined BNR-Heart-or-Stroke scenario.,0 No; 1 Yes,Combined scenario flag.
cvd_sub_c,Combined subtype,Resolved surveillance family under the Conservative scenario.,0 Not included; 1 BNR-Heart; 2 BNR-Stroke; 3 Heart/Stroke unresolved,Shows which family contributes to the combined endpoint.
cvd_sub_p,Combined subtype,Resolved surveillance family under the Primary scenario.,0 Not included; 1 BNR-Heart; 2 BNR-Stroke; 3 Heart/Stroke unresolved,Shows which family contributes to the combined endpoint.
cvd_sub_i,Combined subtype,Resolved surveillance family under the Inclusive scenario.,0 Not included; 1 BNR-Heart; 2 BNR-Stroke; 3 Heart/Stroke unresolved,Shows which family contributes to the combined endpoint.
review_req,Review,High-priority Step 2 human-review flag.,0 No; 1 Yes,Identifies certificates where competing wording or unusual structure deserves focused BNR review.
review_reason,Review,Plain-language reason the record was placed in the high-priority Step 2 review queue.,Text,Explains review selection without requiring knowledge of internal detector variables.
