rule_id,surveillance_family,evidence_class,plain_language_rule,why_this_class,provenance_id,scenario_use
HRT_L011,BNR-Heart,Likely,Current BNR-Heart evidence appears above hypertension on the lowest used Part I line.,WHO mortality linkage rules support assigning the ischaemic Heart disease rather than hypertension in this combination.,NOS011,Primary and Inclusive
HRT_L012,BNR-Heart,Likely,Current BNR-Heart evidence appears above atherosclerosis on the lowest used Part I line.,WHO mortality linkage rules support assigning the ischaemic Heart disease rather than atherosclerosis in this combination.,NOS012,Primary and Inclusive
HRT_L020,BNR-Heart,Likely,A record that would otherwise be Clear is capped at Likely because the original certificate line structure is concatenated or uncertain.,"Strong disease wording remains useful, but lost or uncertain line order prevents the highest confidence level.",SOURCE_STRUCTURE,Primary and Inclusive
HRT_C001,BNR-Heart,Clear,"One clean Part I line contains current direct BNR-Heart evidence, with no competing Heart/Stroke ambiguity.","With a single preserved Part I cause and no obvious structural ambiguity, the certificate provides the strongest evidence available to this BNR approximation.",NOS009,"Conservative, Primary and Inclusive"
STR_N000,BNR-Stroke,No evidence,No qualifying BNR-Stroke evidence was detected on the certificate.,The automated rules found no direct or contextual Stroke evidence that meets the approved terminology rules.,None,Not included
STR_M001,BNR-Stroke,Mention only,"Stroke-related context was detected, but it does not by itself support BNR-Stroke as the approximate underlying cause.",This is the general context/mention layer. Stronger rules can overwrite it when wording and certificate position justify greater confidence.,NOS018,Not included
STR_M002,BNR-Stroke,Mention only,Current direct BNR-Stroke wording appears only in Part II.,"Part II records contributing conditions outside the stated Part I causal sequence, so a Part-II-only Stroke statement is normally retained as a mention.",NOS001,Not included
STR_M003,BNR-Stroke,Mention only,"Only historical or post-stroke evidence is present, with no separate current Stroke evidence.","Previous, prior, old or post-stroke wording does not establish a current acute Stroke underlying cause.",NOS018,Not included
STR_P001,BNR-Stroke,Possible,"Current direct BNR-Stroke evidence appears somewhere in Part I, but a simple rule does not resolve it as the approximate underlying cause.","The Stroke diagnosis is real certificate evidence, but another lower Part I condition or structural issue leaves meaningful uncertainty.",NOS007,Inclusive only
STR_P002,BNR-Stroke,Possible,"The certificate explicitly gives Heart and Stroke as alternatives, for example 'stroke or heart attack'.","The combined circulatory endpoint may be supported, but the Stroke subtype cannot be resolved confidently from alternative wording.",NOS006,Inclusive only
STR_P003,BNR-Stroke,Possible,Current BNR-Stroke and BNR-Heart evidence both appear in Part I.,"Both surveillance families are present in the stated causal sequence, so Stroke is retained as possible rather than forced to be the sole subtype.",NOS006,Inclusive only
STR_P010,BNR-Stroke,Possible,Generic non-traumatic intracranial haemorrhage or bleed appears in Part I without a more specific direct Stroke expression.,The wording is compatible with acute Stroke but is too broad to exclude all non-Stroke intracranial haemorrhage subtypes confidently.,NOS020,Inclusive only
STR_P011,BNR-Stroke,Possible,Current Stroke is recorded in Part II while the only Part I condition is a simple aspiration pneumonia or pneumonitis.,"Stroke can plausibly cause aspiration, but its Part-II position prevents confident underlying-cause attribution.",NOS021,Inclusive only
STR_L001,BNR-Stroke,Likely,Current direct BNR-Stroke evidence is on the lowest used Part I line of a reasonably formed multi-line certificate.,The lowest used Part I line is the usual starting point for underlying-cause selection when the reported sequence is acceptable. The BNR approximation stops at Likely because it does not perform full formal ICD sequence validation.,NOS002,Primary and Inclusive
STR_L010,BNR-Stroke,Likely,Current BNR-Stroke evidence appears above hypertension on the lowest used Part I line.,WHO mortality linkage rules support assigning the cerebrovascular disease rather than hypertension in this combination.,NOS013,Primary and Inclusive
STR_L011,BNR-Stroke,Likely,Current BNR-Stroke evidence appears above atherosclerosis on the lowest used Part I line.,WHO mortality linkage rules support assigning the cerebrovascular disease rather than atherosclerosis in this combination.,NOS014,Primary and Inclusive
STR_L012,BNR-Stroke,Likely,Current Stroke appears immediately above a final simple aspiration pneumonia or pneumonitis line on a certificate with preserved line structure.,WHO mortality guidance recognises paralysing cerebrovascular disease as an obvious cause of pneumonia/aspiration. The BNR rule is deliberately restricted to this simple pattern.,NOS021,Primary and Inclusive
STR_L020,BNR-Stroke,Likely,A record that would otherwise be Clear is capped at Likely because the original certificate line structure is concatenated or uncertain.,"Strong disease wording remains useful, but lost or uncertain line order prevents the highest confidence level.",SOURCE_STRUCTURE,Primary and Inclusive
STR_C001,BNR-Stroke,Clear,"One clean Part I line contains current direct BNR-Stroke evidence, with no competing Heart/Stroke ambiguity.","With a single preserved Part I cause and no obvious structural ambiguity, the certificate provides the strongest evidence available to this BNR approximation.",NOS009,"Conservative, Primary and Inclusive"
