nos_id,topic,plain_language_interpretation,BNR_use,international_rule,source,source_version,section,source_url,status
NOS011,Hypertension with ischaemic heart disease / AMI,"When ischaemic Heart disease/AMI is reported with hypertension in the relevant sequence, WHO mortality linkage rules support the Heart disease rather than hypertension as the selected cause.",Promotes direct AMI above a lowest Part I hypertension line from Possible to Likely when exclusions do not apply.,M1 linkage: essential hypertension with mention of I20-I25 is coded to the ischaemic heart disease; acute MI is I21 within that range.,"World Health Organization, ICD-10 Volume 2 Instruction Manual","Fifth edition, 2016",4.2.5 I10 with I20-I25; analogous I11-I13 provisions,https://cdn.who.int/media/docs/default-source/classification/icd/cause-of-death/icd10volume2_en_2016.pdf?download=true&sfvrsn=5242ebc3_1,active
NOS012,Atherosclerosis with ischaemic heart disease / AMI,"When ischaemic Heart disease/AMI is reported with atherosclerosis in the relevant sequence, WHO mortality linkage rules support the Heart disease rather than atherosclerosis as the selected cause.",Promotes direct AMI above a lowest Part I atherosclerosis line from Possible to Likely when exclusions do not apply.,M1 linkage: atherosclerosis with mention of I20-I25 is coded to I20-I25; WHO examples similarly modify atherosclerosis toward IHD/MI.,"World Health Organization, ICD-10 Volume 2 Instruction Manual","Fifth edition, 2016",4.2.2 Step M1 examples; 4.2.5 I70 with I20-I25,https://cdn.who.int/media/docs/default-source/classification/icd/cause-of-death/icd10volume2_en_2016.pdf?download=true&sfvrsn=5242ebc3_1,active
NOS013,Hypertension with cerebrovascular disease,"When cerebrovascular disease is reported with hypertension in the relevant sequence, WHO mortality linkage rules support the cerebrovascular disease rather than hypertension as the selected cause.",Promotes direct stroke above a lowest Part I hypertension line from Possible to Likely when exclusions do not apply.,M1 linkage: essential hypertension with mention of I60-I69 is coded to the cerebrovascular disease.,"World Health Organization, ICD-10 Volume 2 Instruction Manual","Fifth edition, 2016",4.2.5 I10 with I60-I69,https://cdn.who.int/media/docs/default-source/classification/icd/cause-of-death/icd10volume2_en_2016.pdf?download=true&sfvrsn=5242ebc3_1,active
NOS014,Atherosclerosis with cerebrovascular disease,"When cerebrovascular disease is reported with atherosclerosis in the relevant sequence, WHO mortality linkage rules support the cerebrovascular disease rather than atherosclerosis as the selected cause.",Promotes direct stroke above a lowest Part I atherosclerosis line from Possible to Likely when exclusions do not apply.,M1 linkage: atherosclerosis with mention of I60-I69 is coded to I60-I69; WHO examples similarly modify atherosclerosis toward cerebrovascular accident.,"World Health Organization, ICD-10 Volume 2 Instruction Manual","Fifth edition, 2016",4.2.2 Step M1 examples; 4.2.5 I70 with I60-I69,https://cdn.who.int/media/docs/default-source/classification/icd/cause-of-death/icd10volume2_en_2016.pdf?download=true&sfvrsn=5242ebc3_1,active
NOS015,Coronary thrombosis,"For mortality coding, coronary thrombosis is treated as myocardial infarction evidence unless the coding rules specify otherwise. BNR therefore treats this wording as direct AMI evidence.",Treats coronary thrombosis wording as direct AMI evidence for mortality classification rather than context-only wording.,I24.0 coronary thrombosis not resulting in myocardial infarction is not used for underlying-cause mortality coding; for mortality myocardial infarction is assumed and assignment made to I21.,"World Health Organization, ICD-10 Volume 2 Instruction Manual","Fifth edition, 2016",4.2.5 I24.0,https://cdn.who.int/media/docs/default-source/classification/icd/cause-of-death/icd10volume2_en_2016.pdf?download=true&sfvrsn=5242ebc3_1,active
NOS016,Non-traumatic intraventricular / intraparenchymal cerebral haemorrhage,Clearly non-traumatic intraventricular or intraparenchymal cerebral haemorrhage belongs within the intracerebral-haemorrhage Stroke family. Explicit traumatic wording blocks this rule.,Adds non-traumatic intraventricular and intraparenchymal cerebral haemorrhage wording to direct stroke evidence; explicit traumatic wording blocks the direct rule.,"ICD-10 I61 is intracerebral haemorrhage; I61.5 is intracerebral haemorrhage, intraventricular. BNR uses this only for clearly non-traumatic wording.","World Health Organization, ICD-10 2016 classification and Volume 2 mortality instructions",2016,I61 family; mortality chapter I60-I69,https://icd.who.int/browse10/2016/en,active
NOS017,BNR-Heart fatal-event surveillance scope,BNR-Heart fatal-event surveillance is broader than certificates that literally say AMI. It includes compatible ischaemic/coronary Heart evidence. Sudden cardiac death is kept as uncertain evidence unless stronger Heart wording is present.,"Defines the mortality surveillance family as explicit AMI plus compatible ischaemic/coronary heart disease evidence; sudden cardiac death alone is retained only as uncertain evidence, with certificate position/source structure determining Possible versus Mention.","This is a BNR surveillance-scope decision, not an international ICD selection rule. Historical BNR sources distinguish clinical acute-MI event definitions from death-register ascertainment using IHD and sudden cardiac death.","Barbados National Registry CVD Annual Report 2023; Rose et al., Rev Panam Salud Publica 2016",2023 report; 2016 methods paper,Annual report Methods/Appendix C; Rose et al. methods and Figure 2a,,active-bnr-scope
NOS018,BNR-Stroke surveillance scope,"BNR-Stroke mortality follows the established acute Stroke surveillance family: vascular Stroke/infarction or intracerebral/subarachnoid haemorrhage, while excluding TIA, traumatic and subdural/epidural causes.","Retains the BNR stroke definition for fatal-event classification: vascular neurological impairment lasting more than 24 hours or leading to death; excludes TIA, subdural/epidural haemorrhage, poisoning and trauma.",This is the BNR surveillance definition derived from the WHO stroke definition; it guides which certificate expressions belong in the BNR-Stroke family but does not replace ICD mortality selection rules.,"Barbados National Registry CVD Annual Report 2023; Rose et al., Rev Panam Salud Publica 2016",2023 report; 2016 methods paper,Appendix C BNR-Stroke; Rose et al. methods and Figure 2a,,active-bnr-scope
NOS019,Specified non-traumatic cerebral haemorrhage / bleed terminology,"Anatomically specified, non-traumatic bleeding within the brain is treated as direct Stroke evidence because it maps to the intracerebral-haemorrhage family.","Treats anatomically specified non-traumatic cerebral, cerebellar, pontine, brainstem, thalamic, intraventricular or intraparenchymal haemorrhage/bleed wording as direct BNR-Stroke evidence.",ICD-10 I61 covers intracerebral haemorrhage and the BNR acute-Stroke definition includes intracerebral haemorrhage; explicit traumatic wording remains excluded.,"World Health Organization, ICD-10 classification; BNR Stroke case definition",ICD-10 2016; BNR methods,I61 family; BNR-Stroke definition,https://icd.who.int/browse10/2016/en,active
NOS020,Generic non-traumatic intracranial haemorrhage as uncertain Stroke evidence,An unspecified non-traumatic intracranial bleed is compatible with Stroke but not specific enough to rule out every excluded haemorrhage type. BNR therefore keeps it Possible rather than Primary.,"Places generic non-traumatic intracranial haemorrhage/bleed in Possible rather than Mention when no traumatic, subdural, epidural or extradural wording is present.","ICD-10 separates intracerebral haemorrhage (I61) from other nontraumatic intracranial haemorrhage (I62). Because the BNR acute-Stroke definition excludes subdural/epidural haemorrhage, unspecified intracranial wording is retained as uncertain rather than treated as definite acute Stroke.","World Health Organization, ICD-10 classification; BNR Stroke case definition",ICD-10 2016; BNR methods,I61-I62; BNR-Stroke definition,https://icd.who.int/browse10/2016/en,active-bnr-uncertainty
NOS021,Stroke with aspiration pneumonia / pneumonitis,Stroke can cause paralysis-related pneumonia and aspiration. BNR uses this relationship only for very simple certificate patterns so that the rule stays understandable and does not become a general causal engine.,Supports a narrow classification refinement when current Stroke evidence and aspiration pneumonia/pneumonitis form the only simple competing certificate relationship: Stroke immediately above a final aspiration line may be Likely; current Stroke in Part II with sole Part I aspiration remains Possible.,"WHO Step SP6 guidance treats diseases causing paralysis, including cerebral haemorrhage and thrombosis, as obvious causes of pneumonia; the same conditions are obvious causes of aspiration and inhalation. Pass 6 uses this only in the restricted certificate patterns stated in BNR_use.","World Health Organization, ICD-10 Volume 2 Instruction Manual","Fifth edition, 2016",4.2.1 Step SP6; 4.2.4 K Pneumonia; S Aspiration and inhalation,https://cdn.who.int/media/docs/default-source/classification/icd/cause-of-death/icd10volume2_en_2016.pdf?download=true&sfvrsn=5242ebc3_1,active
