path,type,workflow,status,known_executable_use,recommended_action,caveat
common/bnr_publish_briefing.do,DO,Historical combined publisher,Historical dependency,Called by historical forensics2 and v1 case-count code,Archive with those historical pathways or retain together,Do not remove alone
common/bnr_publish_metric.do,DO,Legacy combined metric publisher,Direct retirement candidate,No current executable caller,Move to holding bay after documentation correction,Only historical documentation and self-references found
common/bnr_stage_briefing.do,DO,Briefings Step 1,Active shared helper,Called by all three current briefing analyses,Retain,Also used by retained migration/ad-hoc examples
common/bnr_stage_metric.do,DO,Legacy Metrics Step 4,Legacy indirect dependency,Called only by monthly/bnr_cvd_metric_controller.do,Retire with the old metric controller,Replaced by bnr_step4_stage_metric.do
common/bnr_step4_stage_metric.do,DO,Metrics Step 4,Active shared helper,Called by monthly/bnr_step4_metrics.do,Retain,
common/bnr_step5_suppress.do,DO,Metrics Step 5,Active shared helper,Called by monthly/bnr_step5_review.do,Retain,
common/bnrcvd_globals.do,DO,Shared display and metadata,Active shared helper,Called by all three current briefings and other scripts,Retain,
common/bnrcvd_prep_2023_v1.do,DO,Historical 2023 preparation,Coupled historical pathway,Called by the old annual builder and v1 case-count code,Move with the historical 2023 unit,Validation evidence may still expect its prepared output
common/mirror_public_to_site.do,DO,Historical combined publisher,Historical dependency,Called only through bnr_publish_briefing.do,Archive with the historical publisher/forensics unit,Not used by current Briefing Step 3
config/bnr_paths_LOCAL.do,DO,All local Stata workflows,Active local configuration,Loaded by current analyses and controllers,Retain locally and keep gitignored,Not expected to be tracked
config/bnr_paths_TEMPLATE.do,DO,All local Stata workflows,Active setup template,Source for local configuration and adopath setup,Retain,
menu/bnr_menu.do,DO,All current workflows,Active entry point,Dispatches current metrics briefings and tables dialogs,Retain,
metrics/cvd/bnr_step4_cvd_burden.do,DO,Metrics Step 4,Active analysis,Called by monthly/bnr_step4_metrics.do,Retain,
monthly/bnr_cvd_create_metric_inputs.do,DO,Legacy Metrics Step 3,Direct retirement candidate,Referenced only by old dialog/help and documentation,Retire with matching dialog/help,Replaced by bnr_step3_metric_inputs.do
monthly/bnr_cvd_metric_controller.do,DO,Legacy Metrics Step 4,Direct retirement candidate,Calls only the old stage helper and has old dialog/help,Retire with matching dialog/help and bnr_stage_metric.do,Replaced by bnr_step4_metrics.do
monthly/bnr_cvd_prepare_confidential.do,DO,Legacy Metrics Step 2,Direct retirement candidate,Referenced only by old dialog/help and documentation,Retire with matching dialog/help,Replaced by bnr_step2_cvd_confidential.do
monthly/bnr_cvd_redcap_extract_pre.do,DO,Legacy Metrics Step 1,Direct retirement candidate,No current caller,Retire with matching pre dialog/help,Replaced by bnr_step1_cvd_redcap_extract.do
monthly/bnr_cvd_review_controller.do,DO,Legacy Metrics Step 5,Direct retirement candidate,Calls only the old suppression helper and has old dialog/help,Retire with matching dialog/help and bnr_apply_suppression.do,Replaced by bnr_step5_review.do
monthly/bnr_step1_cvd_redcap_extract.do,DO,Metrics Step 1,Active controller,Dispatched by current menu/dialog,Retain,
monthly/bnr_step2_cvd_confidential.do,DO,Metrics Step 2,Active controller,Dispatched by current menu/dialog,Retain,
monthly/bnr_step3_metric_inputs.do,DO,Metrics Step 3,Active controller,Dispatched by current menu/dialog,Retain,
monthly/bnr_step4_metrics.do,DO,Metrics Step 4,Active controller,Dispatched by current menu/dialog,Retain,
monthly/bnr_step5_review.do,DO,Metrics Step 5,Active controller,Dispatched by current menu/dialog,Retain,
monthly/bnr_step6_publish.do,DO,Metrics Step 6,Active controller,Dispatched by current menu/dialog,Retain,
refit/bnrcvd-2023-forensics1.do,DO,Historical refit diagnostics,Historical evidence,No routine caller and documented as legacy-dependent,Move to holding bay rather than delete,Contains hard-coded historical paths
refit/bnrcvd_2023_forensics2.do,DO,Historical refit evidence,Historical runnable product,Calls common/bnr_publish_briefing.do,Archive with its legacy publisher or retain together,Potentially supports an existing public forensics product
tables/bnr_step1_cvd_tables.do,DO,Tables Step 1,Active controller,Dispatched by current menu/dialog,Retain,
tables/bnr_step1_cvd_tables_regression.do,DO,Tables implementation validation,Validation evidence,Explicit one-time comparison,Retain as technical evidence,Not part of monthly operation
tables/bnr_step2a_cvd_tables.do,DO,Tables Step 2A,Active controller,Dispatched by current menu/dialog,Retain,
tables/bnr_step2b_cvd_tables_approve.do,DO,Tables Step 2B,Active controller,Dispatched by current menu/dialog,Retain,
tables/bnr_step3_cvd_tables_publish.do,DO,Tables Step 3,Active controller,Dispatched by current menu/dialog,Retain,
